,0
437,NA1_4296679482
438,NA1_4297102510
439,NA1_4290455309
440,NA1_4293625806
441,NA1_4285997377
442,NA1_4297858043
443,NA1_4296187176
444,NA1_4293362694
445,NA1_4294420564
446,NA1_4296219925
447,NA1_4293535064
448,NA1_4293150032
449,NA1_4291948967
450,NA1_4296143752
451,NA1_4292269675
452,NA1_4292263300
453,NA1_4296586760
454,NA1_4292089134
455,NA1_4291085905
456,NA1_4298133077
457,NA1_4293723188
458,NA1_4297963984
459,NA1_4292259924
460,NA1_4297085451
461,NA1_4293293573
462,NA1_4290249913
463,NA1_4297965465
464,NA1_4296815126
465,NA1_4292206723
466,NA1_4298403384
467,NA1_4294750785
468,NA1_4292426210
469,NA1_4291535902
470,NA1_4296849043
471,NA1_4293665907
472,NA1_4294618643
473,NA1_4286987453
474,NA1_4296652114
475,NA1_4290535204
476,NA1_4296680009
477,NA1_4293472830
478,NA1_4296962204
479,NA1_4297584340
480,NA1_4289067360
481,NA1_4290257903
482,NA1_4294480602
483,NA1_4295433047
484,NA1_4285867749
485,NA1_4293520034
486,NA1_4297154828
487,NA1_4295374258
488,NA1_4294356620
489,NA1_4297748994
490,NA1_4297022554
491,NA1_4296544196
492,NA1_4296878551
493,NA1_4296877296
494,NA1_4288029381
495,NA1_4293932028
496,NA1_4293013884
497,NA1_4297055185
498,NA1_4297644527
499,NA1_4295729546
500,NA1_4298054115
501,NA1_4296640713
502,NA1_4298268746
503,NA1_4295395167
504,NA1_4295342295
505,NA1_4296433984
506,NA1_4298212643
507,NA1_4298158842
508,NA1_4288819439
509,NA1_4293549296
510,NA1_4295605292
511,NA1_4296842053
512,NA1_4296487288
513,NA1_4295305858
514,NA1_4297837369
515,NA1_4296659000
516,NA1_4298252769
517,NA1_4293566574
518,NA1_4298379795
519,NA1_4296777347
520,NA1_4291200985
521,NA1_4293110925
522,NA1_4292081856
523,NA1_4288679317
524,NA1_4293633553
525,NA1_4297632814
526,NA1_4294399034
527,NA1_4298070554
528,NA1_4296745454
529,NA1_4298195748
530,NA1_4298366663
531,NA1_4296940047
532,NA1_4297159938
533,NA1_4295879171
534,NA1_4287815051
535,NA1_4288677902
536,NA1_4298337542
537,NA1_4297660276
538,NA1_4298185158
539,NA1_4289133611
540,NA1_4296899628
541,NA1_4293149216
542,NA1_4294432229
543,NA1_4289109841
544,NA1_4289917523
545,NA1_4293129783
546,NA1_4296959721
547,NA1_4296835599
548,NA1_4296981130
549,NA1_4288466473
550,NA1_4295734328
551,NA1_4297471475
552,NA1_4297689371
553,NA1_4297762851
554,NA1_4297839712
555,NA1_4295486501
556,NA1_4297531290
557,NA1_4295645866
558,NA1_4298121694
559,NA1_4293917824
560,NA1_4297100544
561,NA1_4296903537
562,NA1_4298232650
563,NA1_4296049891
564,NA1_4294283867
565,NA1_4297566977
566,NA1_4289638792
567,NA1_4291161591
568,NA1_4292089566
569,NA1_4288932968
570,NA1_4297461823
571,NA1_4297747562
572,NA1_4295586444
573,NA1_4296574012
574,NA1_4296334838
575,NA1_4296050666
576,NA1_4294181363
577,NA1_4285324340
578,NA1_4297883443
579,NA1_4296727667
580,NA1_4290704217
581,NA1_4295764142
582,NA1_4293090426
583,NA1_4296205259
584,NA1_4295149296
585,NA1_4295734894
586,NA1_4298122334
587,NA1_4295277284
588,NA1_4297602829
589,NA1_4298412547
590,NA1_4298085440
591,NA1_4297643563
592,NA1_4296509851
593,NA1_4296407239
594,NA1_4298295935
595,NA1_4295584171
596,NA1_4297926442
597,NA1_4295181717
598,NA1_4293060706
599,NA1_4292715028
600,NA1_4291696399
601,NA1_4298210504
602,NA1_4297035632
603,NA1_4293733265
604,NA1_4296623999
605,NA1_4298411547
606,NA1_4298293085
607,NA1_4297004831
608,NA1_4295622432
609,NA1_4292633042
610,NA1_4295194662
611,NA1_4295952630
612,NA1_4298339072
613,NA1_4296162358
614,NA1_4288068879
615,NA1_4296889329
616,NA1_4293598841
617,NA1_4297159290
618,NA1_4298273556
619,NA1_4295483549
620,NA1_4292467876
621,NA1_4293803637
622,NA1_4294281722
623,NA1_4295267897
624,NA1_4291323294
